season,episode_number,title,airdate,rating,total_votes,desc
12,1,Spyfall: Part One,2020-01-01,6.5,5596,"When intelligence agents around the world come under attack from alien forces, MI6 turns to the only person who can help... The Doctor."
12,2,Spyfall: Part Two,2020-01-05,6.4,4968,A terrifying plan to destroy humanity is about to reach fruition. Can the Doctor and her friends escape multiple traps and defeat a deadly alliance?
12,3,Orphan 55,2020-01-12,4.1,5610,"Having decided that everyone could do with a holiday, Graham accidentally teleports himself, the Doctor Yasmin and Ryan to a luxury resort for a spot of rest and relaxation. However, they discover the place where they are having a break is hiding a number of deadly secrets. What are the ferocious monsters that are attacking Tranquility Spa?"
12,4,Nikola Tesla's Night of Terror,2020-01-19,6.4,4480,"The time: the earliest years of the 20th century. The place: New York City. Inventor Nikola Tesla is at war with his rival Thomas Edison. However, there's an even greater threat in their midst."
12,5,Fugitive of the Judoon,2020-01-26,7.4,4889,"Stomping their way into present-day Gloucester, the Judoon are on the hunt for someone on the run. Who is this fugitive? And why are these alien mercenaries after them?"
12,6,Praxeus,2020-02-02,5.1,4049,The Doctor and her friends split up to investigate multiple mysteries across planet Earth. What they find will threaten all of humanity.
12,7,Can You Hear Me?,2020-02-09,5.6,3619,"From ancient Syria to present day Sheffield, and out into the wilds of space, something is stalking the Doctor and infecting people's nightmares."
12,8,The Haunting of Villa Diodati,2020-02-16,7.0,3776,"Villa Diodati, 1816 - on a night that inspired Mary Shelley's Frankenstein. The plan was to spend the evening in the presence of literary greats - but the ghosts are all too real. And the Doctor is forced into an earth-shattering decision."
12,9,Ascension of the Cybermen,2020-02-23,6.4,3530,"In the far future, the Doctor and her friends face a brutal battle across the farthest reaches of space to protect the last of the human race against the deadly Cybermen."
12,10,The Timeless Children,2020-03-01,5.1,4994,"In the epic and emotional season finale, the Cybermen are on the march. As the last remaining humans are ruthlessly hunted down, Graham, Ryan and Yaz face a terrifying fight to survive. Civilisations fall. Others rise anew. Lies are exposed, truths are revealed, battles are fought, and for the Doctor - trapped and alone - nothing will ever be the same again."
12,11,Revolution of the Daleks,2021-01-01,5.9,3053,"Robertson returns, and inadvertently gives the mutant Dalek a chance to clone itself. The Doctor escapes from her alien prison with the help of an old friend, and returns to help."
12,-1,Time Crash,2007-11-16,8.4,3112,The Tenth Doctor meets one of his previous incarnations.
12,-1,The Next Doctor,2009-06-27,7.5,4602,The Doctor arrives in London on Christmas Eve in 1851 where he encounters the Cybermen and a man who claims he's a Time Lord called the Doctor.
12,-1,Planet of the Dead,2009-07-26,7.5,4565,"A meeting in a London bus with jewel thief Lady Christina takes a turn for the worst for the Doctor when the bus takes a detour to a desert-like planet, where the deadly Swarm awaits."
12,-1,The Waters of Mars,2009-12-19,8.7,5831,In a Mars base the inhabitants are being infected by a mysterious water creature which takes over its victims. The Doctor is thrust into the middle of this catastrophe knowing a larger one is waiting around the corner.
12,-1,A Ghost Story for Christmas,2009-12-24,7.2,586,This mini-story tells of the Weeping Angels and depicts their abduction of a young woman named Julia Hardwick.
12,-1,The End of Time: Part One,2009-12-26,8.2,5325,The Ood have given a warning to The Doctor. The Master is returning yet that is not the biggest threat. A darkness is coming which brings with it The End of Time.
12,-1,The End of Time: Part Two,2010-01-02,8.9,5989,"With almost everyone on Earth now recast in his image, The Master controls the Earth. He's shocked however when he realises one person hasn't changed; Donna Noble. The Doctor soon understands what the pounding in the Master's head is; it's the Time Lords, who are trying to return and re-establish Gallifrey. If they succeed, it'll mean the Last Great Time War will re-start, and all the horrors which came with it. In order to stop Rasillon's mad plan, the Doctor must make a choice. Finally, the Ood's prophecy for the Doctor becomes true, and he takes the TARDIS on a ..."
12,-1,Prequel to the Impossible Astronaut,2011-03-25,8.0,793,The new series of Doctor Who begins with The Impossible Astronaut. But before that we have a short scene written by Steven Moffat that reveals a little of what we can expect from the adventure and what the Doctor will be facing!
12,-1,Prequel to the Curse of the Black Spot,2011-04-25,7.0,772,"The third episode of Doctor Who is a scary, action-packed adventure called The Curse of the Black Spot. What evil lurks for the crew in the darkness? Come aboard and watch the spine-chilling prequel to The Curse of the Black Spot."
12,-1,Prequel to A Good Man Goes to War,2011-05-28,7.5,889,"As the Doctor prepares to face his darkest hour, key players conspire and a grim warning is given..."
12,-1,Prequel to Let's Kill Hitler,2011-08-15,7.6,864,"The battle of Demon's Run has been fought but the stakes are now higher than ever! As the TARDIS crosses the universe, the Doctor receives a heart-breaking message from Amy... Their adventure continues in this brilliant Prequel written by Steven Moffat."
12,-1,Prequel to the Wedding of River Song,2011-09-24,7.5,741,"The Doctor's time is running out and he faces a date with death by the shores of Lake Silencio - Meanwhile, in the presence of an old enemy, we hear a prophesy that will change everything."
12,-1,"Prequel to the Doctor, the Widow and the Wardrobe",2011-12-06,7.3,750,"Written by Steven Moffat and starring Matt Smith as the Doctor, this exciting Prequel shows what was happening to the Time Lord moments before the explosive start of the Christmas Special!"
12,-1,Prequel to Asylum of the Daleks,2012-09-02,7.7,542,The Doctor receives a message from a mysterious hooded stranger - a woman called Darla Von Karlsen wants to meet him...
12,-1,The Making of the Gunslinger,2012-09-16,6.9,489,"A detailed explanation of the creation of the Gunslinger and all the factors that went into selecting the ""participants""."
12,-1,The Great Detective,2012-11-16,7.6,825,"Matt and Jenna introduce the Doctor Who Christmas Prequel, The Great Detective, in which Vastra, Jenny and Strax try to persuade the grumpy Doctor to engage again."
12,-1,Vastra Investigates: A Christmas Prequel,2012-12-17,7.5,608,"Madame Vastra finishes a case with Scotland Yard, but continues to worry about The Doctor."
12,-1,The Bells of Saint John: A Prequel,2013-03-23,7.9,636,"A look at the opening of the first episode of the new season, The Bells of Saint John."
12,-1,The Battle of Demon's Run: Two Days Later,2013-03-25,7.6,542,"In the aftermath of the battle of Demons Run, a battle-scarred Strax lies dying on the floor - or has he just fainted..."
12,-1,"She Said, He Said: A Prequel",2013-05-11,7.5,626,"The Doctor and Clara each deliver a separate monologue summing up their thoughts on each other before the events of ""The Name of the Doctor."""
12,-1,Clarence and the Whispermen,2013-05-26,6.9,512,The Whispermen visits Clarence in his cell.
12,-1,Clara and the Tardis,2013-09-24,7.9,710,"Clara has a conversation with the TARDIS, and encounters a surprise."
12,-1,Rain Gods,2013-09-24,7.5,583,The Doctor and River are about to be sacrificed to the Rain Gods of an unknown planet and the Doctor must come up with a plan to save themselves.
12,-1,The Inforarium,2013-09-24,7.6,506,"In the Doctor's quest to delete all information on him in the universe, he visits the Inforarium, a universal database, in hope to erase himself from it."
12,-1,The Night of the Doctor,2013-11-14,9.1,3649,"With the aid of the Sisterhood of Karn, the Eighth Doctor regenerates into the War Doctor."
12,-1,The Day of the Doctor,2013-11-23,9.3,18006,"In 2013, something terrible is awakening in London's National Gallery; in 1562, a murderous plot is afoot in Elizabethan England; and somewhere in space an ancient battle reaches its devastating conclusion."
12,-1,Prologue,2015-09-11,7.8,570,"Doctor Who Season 9 starts here with this prologue to Episode 1, ""The Magician's Apprentice""."
12,-1,The Doctor's Meditation,2015-09-15,7.7,646,The Doctor contemplates a journey to see an old acquaintance and digs a well.
12,-1,Friend from the Future,2016-04-23,7.3,411,"The Doctor and Bill are chased by a group of Daleks in a short introductory video to present Bill, the new companion, to audiences for the first time."
