season,episode_number,title,airdate,rating,total_votes,desc
3,10,Blink,2007-06-09,9.8,20102,Sally Sparrow receives a cryptic message from the Doctor about a mysterious new enemy species that is after the TARDIS.
3,11,Utopia,2007-06-16,8.7,6749,"Soon after bumping into old friend Jack Harkness, Martha and The Doctor head off to Malcassairo, a distant planet where an old professor will do anything he can to keep his people alive..."
3,12,The Sound of Drums,2007-06-23,8.7,6809,"The Doctor, Martha and Jack return to the 21st Century eighteen months after the Doctor and Martha left. They find they've missed the election, and the new Prime Minister, Harold Saxon, is someone they've met before by another name."
3,13,Last of the Time Lords,2007-06-30,8.4,7072,"It's been a year since The Master unleashed the mysterious Toclafane onto Earth. With the human race and The Doctor enslaved under The Master's control, Martha Jones is the only person that can help stop the evil Time Lord."
4,0,Voyage of the Damned,2008-04-18,7.6,6646,"A spacecraft set on an apocalyptic collision course with Earth, a host of killer robot angels and an evil severed headed mastermind - it's just another Christmas for the Doctor... 2007 Christmas special guest starring Kylie Minogue."
4,1,Partners in Crime,2008-04-25,7.7,6280,"With a new weight-loss pill tested in London by Adipose Industries, The Doctor goes to investigate the sinister truth behind the product, only to find out that his old friend Donna Noble is investigating as well."
4,2,The Fires of Pompeii,2008-05-02,8.0,6458,"Instead of Rome, The Doctor and Donna Noble end up visiting Pompeii in AD 79, on the eve of the catastrophic eruption of Mount Vesuvius. Before anyone even knew it was actually a volcano, the entire city is doomed for destruction."
4,3,Planet of the Ood,2008-05-09,8.0,6175,"Finding themselves on the Ood-Sphere planet in the 42nd century, The Doctor and Donna discover the truth over the Ood's willingness to serve humankind."
4,4,The Sontaran Stratagem,2008-05-16,7.5,5582,UNIT's newest recruit Martha Jones enlists The Doctor's help to investigate kid genius Luke Rattigan and his ATMOS system that is used in every car on Earth.
4,5,The Poison Sky,2008-05-30,7.5,5542,"With planet Earth choking under the poison sky, the Doctor must stop the Sontarans' threat to the planet."
4,6,The Doctor's Daughter,2008-06-06,7.6,6223,"Caught in the middle of a war between the Humans and the Hath in the planet Messaline, the Doctor finds himself once again a father."
4,7,The Unicorn and the Wasp,2008-06-13,7.7,6091,"With a 1926 dinner party turning into a murder mystery, The Doctor and Donna Noble get the chance to meet Agatha Christie on the eve of her well-known 9-days disappearance."
4,8,Silence in the Library,2008-06-20,9.3,9028,The Doctor and Donna join a group of archaeologists at a 51st century library. What caused the library to become abandoned? What are the Nodes? And what links the library to one little girl? All they have is one warning - count the shadows.
4,9,Forest of the Dead,2008-06-27,9.4,9342,"With the library darkening, the Doctor takes on the Vashta Nerada while figuring out what links River Song to his future. Meanwhile, Donna finds out the mystery of Dr. Moon and the Girl."
4,10,Midnight,2008-07-11,9.0,8321,"As part of a well-deserved holiday, the Doctor takes a tour on a planet called Midnight. Little does he know that something is knocking on the walls, although the planet shouldn't be inhabited. Soon the passengers begin to panic when one of them is possessed."
4,11,Turn Left,2008-06-21,8.9,7083,"What would happen if Donna never met the Doctor? How would Earth handle the Racnoss, the falling Titanic or the Sontarans? Aided by a familiar blonde time traveler, Donna corrects the alternate time line from happening."
4,12,The Stolen Earth,2008-06-28,9.1,7014,"The return of an old enemy leaves Earth along with 26 other planets stolen from their places. As the Doctor and Donna look for the whereabouts of Earth, former companions of the Doctor assemble a resistance against the new Dalek Empire."
4,13,Journey's End,2008-07-05,9.2,8035,"In the wake of Davros' threat to destroy the existence of the Universe itself, the Doctor's companions unite to stop the Dalek empire. Which one will die by the prophecies and what will the fate be for the Doctor?"
5,1,The Eleventh Hour,2010-04-17,8.7,8016,"With his TARDIS in ruins, the newly-regenerated Doctor with the help of Amy Pond must save the world in less than twenty minutes from galactic policemen known as the Atraxi."
5,2,The Beast Below,2010-04-10,7.6,6249,"The Doctor takes Amy to the future inside Starship UK, which contains in addition to British explorers, an intimidating race known as the Smilers."
5,3,Victory of the Daleks,2010-04-17,6.7,6071,"The TARDIS takes The Doctor and Amy to war-torn Britain in the middle of World War Two. Not only do they meet Winston Churchill himself, but the Doctor comes face to face once again with his greatest enemy of all."
5,4,The Time of Angels,2010-04-24,8.7,6792,"The Doctor and Amy emerge from the TARDIS to find the wreck of the Byzantium spaceship. Down below the Weeping Angels are stirring, but the Doctor has someone else to contend with; none other than the mysterious Professor River Song."
5,5,Flesh and Stone,2010-05-01,8.5,6246,"The Doctor, Amy, Dr. Song and the remaining soldiers manage to escape from the crashed ship and into the forest. The Angels attempt to create a rift in time and space much as the Doctor had found in Amy's room when they first met. Amy meanwhile is counting down from 10 minutes and the Doctor has determined that an Angel has taken over her mind."
5,6,The Vampires of Venice,2010-05-08,7.0,5815,The Doctor and Amy cross swords in more ways than one with a horde of blood-sucking vampires in 16th century Venice.
5,7,Amy's Choice,2010-05-15,8.2,6153,"Five years after finally leaving the TARDIS Amy and Rory now married, live in the quiet little village of Leadworth. But everything is not what it would seem."
5,8,The Hungry Earth,2010-05-22,7.2,5460,"When a drill drills to deep into the earth, something that had been hibernating beneath the earth's crust is woken, and it's hungry for revenge."
5,9,Cold Blood,2010-05-29,7.4,5452,"The Silurians are awake, and Angry. The Silurians are preparing for war, A war that could decide who gets to live on earth, The Silurians or-the humans.."
5,10,Vincent and the Doctor,2010-06-05,9.3,10681,The Doctor and Amy travel back in time to meet Vincent Van Gogh and face an invisible monster that only the painter can see.
5,11,The Lodger,2010-07-10,8.1,6095,"After the TARDIS teleports without him, the doctor tries to find out what is stopping it from landing and traces it to a seemingly ordinary, two storey house."
5,12,The Pandorica Opens,2010-07-17,9.0,6930,"River Song returns to deliver The Doctor a serious warning from his allies: the mythical Pandorica, said to contain the most feared creature in the entire Universe, is opening."
5,13,The Big Bang,2010-06-26,9.1,7139,"The Pandorica opened, silence fell, and now planet Earth is left alone in the universe. Jumping through time, the doctor must figure out a way to bring back those who never were and save his friends from the collapse of reality."
6,0,A Christmas Carol,2010-12-25,8.6,7197,"on Christmas eve, The doctor travels into the past of a bitter old man who has the power to save Amy and Rory but doesn't want to save them, so that he doesn't grow up to be mean and bitter."
6,1,The Impossible Astronaut,2011-04-23,8.9,7024,"The Doctor, Amy, Rory and River Song are reunited in the Utah desert."
6,2,Day of the Moon,2011-04-30,8.8,6481,The Doctor and his allies mount a rebellion against invaders who have been controlling humanity from the very beginning.
6,3,The Curse of the Black Spot,2011-05-07,6.7,5713,"The Doctor, Amy and Rory find themselves aboard a marooned pirate ship whose crew is being picked off one by one by a beautiful - and deadly - Siren."
6,4,The Doctor's Wife,2011-05-14,9.0,7577,The Doctor is lured to a sentient asteroid outside of the Universe by a Time Lord distress signal and soon realises his TARDIS is in grave danger.
6,5,The Rebel Flesh,2011-05-21,7.2,5118,"A solar tsunami sends the TARDIS crew to an acid mining factory in the 22nd century, where a small team of workers come under attack from their doppelgangers."
